Number,Microseconds
100,0
1100,6
2100,10
3100,16
4100,20
5100,27
6100,35
7100,48
8100,44
9100,53
10100,57
11100,67
12100,69
13100,75
14100,69
15100,87
16100,86
17100,71
18100,73
19100,79
20100,77
21100,70
22100,68
23100,85
24100,97
25100,82
26100,82
27100,100
28100,116
29100,103
30100,104
31100,103
32100,137
33100,133
34100,97
35100,118
36100,93
37100,100
38100,117
39100,114
40100,137
41100,128
42100,113
43100,111
44100,130
45100,139
46100,89
47100,134
48100,127
49100,146
50100,138
51100,127
52100,127
53100,165
54100,143
55100,148
56100,132
57100,163
58100,162
59100,171
60100,154
61100,168
62100,146
63100,168
64100,167
65100,159
66100,210
67100,133
68100,186
69100,182
70100,166
71100,185
72100,209
73100,221
74100,157
75100,246
76100,153
77100,179
78100,196
79100,210
80100,218
81100,212
82100,197
83100,160
84100,189
85100,222
86100,183
87100,208
88100,228
89100,211
90100,221
91100,210
92100,205
93100,254
94100,275
95100,208
96100,234
97100,244
98100,243
99100,334
100100,317
101100,284
102100,267
103100,273
104100,253
105100,307
106100,250
107100,248
108100,271
109100,241
110100,304
111100,402
112100,421
113100,383
114100,379
115100,546
116100,393
117100,402
118100,374
119100,327
120100,409
121100,682
122100,789
123100,764
124100,400
125100,416
126100,348
127100,440
128100,761
129100,449
130100,544
131100,478
132100,491
133100,515
134100,921
135100,891
136100,640
137100,517
138100,498
139100,464
140100,415
141100,352
142100,511
143100,466
144100,608
145100,706
146100,671
147100,557
148100,591
149100,443
150100,450
151100,485
152100,644
153100,826
154100,774
155100,772
156100,817
157100,797
158100,302
159100,480
160100,888
161100,881
162100,895
163100,921
164100,927
165100,941
166100,1022
167100,955
168100,387
169100,340
170100,877
171100,791
172100,983
173100,690
174100,447
175100,417
176100,350
177100,424
178100,470
179100,638
180100,808
181100,748
182100,597
183100,761
184100,606
185100,678
186100,791
187100,469
188100,430
189100,376
190100,527
191100,469
192100,529
193100,548
194100,522
195100,427
196100,773
197100,746
198100,911
199100,1118


