"Number","Microseconds"
1100,104
2100,208
3100,345
4100,414
5100,485
6100,538
7100,607
8100,706
9100,814
10100,925
11100,980
12100,1071
13100,1142
14100,1212
15100,1293
16100,1361
17100,1406
18100,1449
19100,1517
20100,1574
21100,1609
22100,1704
23100,1785
24100,1879
25100,1928
26100,1985
27100,2035
28100,2073
29100,2150
30100,2179
31100,2207
32100,2256
33100,2308
34100,2407
35100,2440
36100,2526
37100,2598
38100,2672
39100,2725
40100,2738
41100,2751
42100,2763
43100,2775
44100,2789
45100,2802
46100,2815
47100,2827
48100,2847
49100,2862
50100,2880
51100,2901
52100,2928
53100,2951
54100,2972
55100,2997
56100,3014
57100,3035
58100,3068
59100,3093
60100,3120
61100,3142
62100,3166
63100,3186
64100,3209
65100,3232
66100,3251
67100,3268
68100,3282
69100,3294
70100,3307
71100,3320
72100,3334
73100,3346
74100,3358
75100,3371
76100,3384
77100,3396
78100,3410
79100,3423
80100,3436
81100,3450
82100,3461
83100,3474
84100,3487
85100,3499
86100,3511
87100,3524
88100,3536
89100,3549
90100,3561
91100,3574
92100,3587
93100,3600
94100,3612
95100,3627
96100,3642
97100,3658
98100,3672
99100,3695
100100,3712
101100,3730
102100,3757
103100,3774
104100,3792
105100,3814
106100,3830
107100,3850
108100,3879
109100,3910
110100,3934
111100,3959
112100,3980
113100,4003
114100,4027
115100,4050
116100,4071
117100,4086
118100,4100
119100,4114
120100,4127
121100,4140
122100,4153
123100,4166
124100,4178
125100,4190
126100,4203
127100,4216
128100,4228
129100,4241
130100,4255
131100,4267
132100,4280
133100,4292
134100,4306
135100,4318
136100,4330
137100,4342
138100,4354
139100,4367
140100,4380
141100,4393
142100,4407
143100,4419
144100,4432
145100,4446
146100,4461
147100,4474
148100,4487
149100,4500
150100,4524
151100,4542
152100,4557
153100,4575
154100,4593
155100,4613
156100,4630
157100,4647
158100,4664
159100,4684
160100,4707
161100,4738
162100,4765
163100,4789
164100,4811
165100,4837
166100,4864
167100,4886
168100,4912
169100,4931
170100,4946
171100,4960
172100,4976
173100,4991
174100,5006
175100,5021
176100,5034
177100,5050
178100,5063
179100,5077
180100,5089
181100,5102
182100,5114
183100,5126
184100,5139
185100,5152
186100,5164
187100,5176
188100,5189
189100,5202
190100,5214
191100,5227
192100,5240
193100,5252
194100,5265
195100,5278
196100,5296
197100,5311
198100,5323
199100,5336
